,コード,銘柄,業種,株価,予想利回%,予想ROE%,配当性向%
1,2737,トーメンデバイス,卸売業,28350.0,7.75,42.5,37.0
2,8005,スクロール,小売業,1838.0,6.0,12.2,72.0
3,2767,円谷フィールズホールディングス,卸売業,2540.0,5.81,24.6,58.0
4,4481,ベース,情報･通信業,3360.0,5.79,32.2,74.0
5,9743,丹青社,サービス業,1498.0,5.76,15.1,66.0
6,3608,ＴＳＩホールディングス,繊維製品,1270.0,5.69,8.3,53.0
7,7148,ＦＰＧ,証券･商品先物取引業,1660.0,5.41,25.9,50.0
8,4973,日本高純度化学,化学,4600.0,5.37,9.8,62.0
9,2121,ＭＩＸＩ,情報･通信業,3530.0,5.35,13.3,40.0
10,5445,東京鐵鋼,鉄鋼,2015.0,5.2,11.3,36.0
11,471A,ＮＳグループ,その他金融業,1614.0,5.04,27.2,50.0
12,7172,ジャパンインベストメントアドバイザー,証券･商品先物取引業,2079.0,5.03,15.8,52.0
13,9416,ビジョン,情報･通信業,1058.0,4.94,24.9,49.0
14,6196,ストライクグループ,サービス業,1359.0,4.92,23.4,75.0
15,4202,ダイセル,化学,1466.0,4.83,8.7,56.0
16,7595,アルゴグラフィックス,情報･通信業,1346.0,4.76,15.2,62.0
17,6436,アマノ,機械,3864.0,4.65,13.4,71.0
18,6200,インソース,サービス業,737.0,4.64,32.6,67.0
19,8572,アコム,その他金融業,489.0,4.62,8.9,54.0
20,2127,日本Ｍ＆Ａセンターホールディングス,サービス業,675.0,4.55,28.2,69.0
21,6929,日本セラミック,電気機器,3720.0,4.42,10.7,74.0
22,6183,ベルシステム２４ホールディングス,サービス業,1411.0,4.4,11.5,52.0
23,9757,船井総研ホールディングス,サービス業,1160.0,4.34,26.7,67.0
24,8016,オンワードホールディングス,繊維製品,772.0,4.33,11.9,40.0
25,2317,システナ,情報･通信業,440.0,4.29,27.0,61.0
26,5929,三和ホールディングス,金属製品,3617.0,4.24,17.7,51.0
27,3076,あい　ホールディングス,卸売業,2933.0,4.24,9.0,65.0
28,2154,オープンアップグループ,サービス業,2039.0,4.22,15.1,63.0
29,3612,ワールド,繊維製品,1682.0,4.17,12.7,39.0
30,1928,積水ハウス,建設業,3471.0,4.16,10.1,43.0
