code,銘柄,業種,pbr,roe,株価,足元%,ADV億
22640,森永乳業,食料品,0.37,8.1,1267.5,0.2,28.4
80530,住友商事,卸売業,0.4,12.7,1549.0,2.7,209.5
29860,ＬＡホールディングス,不動産業,0.71,20.5,2779.0,-2.3,6.9
80780,阪和興業,卸売業,0.77,8.8,1694.0,0.2,10.5
57150,古河機械金属,非鉄金属,0.78,8.5,3540.0,-0.7,9.9
19110,住友林業,建設業,0.82,9.4,1350.5,1.8,58.6
40280,石原産業,化学,0.84,12.9,2845.0,1.9,12.0
68100,マクセル,電気機器,0.9,9.2,2130.0,-2.4,7.5
72820,豊田合成,輸送用機器,1.05,10.1,5113.0,0.3,29.8
82420,エイチ・ツー・オー　リテイリング,小売業,1.06,9.2,2854.5,1.1,11.9
79940,オカムラ,その他製品,1.06,10.9,2286.0,1.9,5.7
42720,日本化薬,化学,1.06,8.8,1993.0,-2.4,12.6
79120,大日本印刷,その他製品,1.07,8.2,2957.0,1.6,61.1
18200,西松建設,建設業,1.08,11.8,5308.0,1.5,6.2
81540,加賀電子,卸売業,1.09,16.9,4205.0,3.0,10.9
287A0,黒田グループ,卸売業,1.09,8.3,1055.0,2.7,6.0
66320,ＪＶＣケンウッド,電気機器,1.1,11.2,1124.0,0.8,13.2
57140,ＤＯＷＡホールディングス,非鉄金属,1.13,13.2,8666.0,-6.7,41.7
95320,大阪瓦斯,電気･ガス業,1.16,8.2,5456.0,1.5,54.1
92470,ＴＲＥホールディングス,サービス業,1.18,17.3,2088.0,-5.3,12.4
95310,東京瓦斯,電気･ガス業,1.19,12.6,6121.0,1.9,67.2
42050,日本ゼオン,化学,1.19,9.6,2355.0,-7.3,18.2
35690,セーレン,繊維製品,1.2,9.6,3280.0,-2.1,5.1
14170,ミライト・ワン,建設業,1.22,8.1,3854.0,-6.3,9.4
63630,酉島製作所,機械,1.22,9.8,2797.0,-2.6,8.0
40880,エア・ウォーター,化学,1.23,9.1,2767.0,-5.3,31.3
42060,アイカ工業,化学,1.23,8.9,3694.0,0.8,10.0
18600,戸田建設,建設業,1.23,9.2,1628.5,-6.6,15.0
74560,松田産業,卸売業,1.25,14.1,5720.0,-7.0,7.1
79470,エフピコ,化学,1.28,9.0,2595.0,0.5,6.7
18610,熊谷組,建設業,1.29,10.7,1429.0,1.3,10.2
13320,ニッスイ,水産・農林業,1.3,8.9,1284.0,1.6,16.6
